http://www.nbcnews.com/watch/nightly-news/how-safe-is-the-artificial-turf-on-your-childs-sports-field-339230787933,80523,73,text/html
http://www.nbcnews.com/meet-the-press/video/full-priebus-interview-vice-president-is-in-the-loop-on-everything-880541763904,406375,209,text/html
http://www.nbcnews.com/news/asian-america/great-wall-comes-great-challenges-china-s-influence-hollywood-grows-n719461,140443,123,text/html
http://www.nbcnews.com/nightly-news/video/oldest-known-pearl-harbor-veteran-104-bulks-up-for-75th-anniversary-825436739652,475627,162,text/html
http://www.nbcnews.com/tech,256469,258,text/html
http://www.nbcnews.com/watch/nightly-news/crashes-cast-doubt-on-safety-of-navy-s-sea-dragon-helicopter-392634435789,68221,72,text/html
http://www.nbcnews.com/news/asian-america/new-film-explores-formation-u-s-military-s-most-decorated-n721986,90428,89,text/html
http://www.nbcnews.com/feature/inspiring-america/wwii-vet-gets-home-makeover-thanks-kindness-strangers-n720431,87506,80,text/html
http://www.nbcnews.com/news/asian-america/merging-farming-art-nikiko-masumoto-keeps-her-family-s-roots-n722471,104487,99,text/html
http://www.nbcnews.com/business/consumer/we-need-hug-online-dating-soared-35-percent-after-trump-n722446,116524,90,text/html
http://www.nbcnews.com/news/us-news/side-underride-crashes-kill-200-people-year-will-congress-act-n711721,109489,102,text/html
http://www.nbcnews.com/mach/environment/how-eating-crickets-could-help-save-planet-n721416,102072,99,text/html
http://www.nbcnews.com/business/consumer/you-re-getting-skinned-chicken-prices-suit-says-n721821,97443,82,text/html
http://www.nbcnews.com/news/us-news/kraft-heinz-withdraws-143-billion-bid-buy-unilever-n723041,83617,79,text/html
http://www.nbcnews.com/news/us-news/norma-mccorvey-who-was-center-roe-v-wade-abortion-rights-n722826,113759,92,text/html
http://www.nbcnews.com/mach/space,113722,116,text/html
http://www.nbcnews.com/better/a-better-way,81987,80,text/html
http://www.nbcnews.com/mach/innovation/virtual-reality-bringing-these-lost-worlds-back-life-n722006,92851,95,text/html
