18/03/21 02:16:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 02:16:39 INFO client.RMProxy: Connecting to ResourceManager at cluster-2909-m/10.138.0.4:8032
18/03/21 02:16:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 02:16:44 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 02:16:44 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 02:16:45 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521598375209_0001
18/03/21 02:16:46 INFO impl.YarnClientImpl: Submitted application application_1521598375209_0001
18/03/21 02:16:46 INFO mapreduce.Job: The url to track the job: http://cluster-2909-m:8088/proxy/application_1521598375209_0001/
18/03/21 02:16:46 INFO mapreduce.Job: Running job: job_1521598375209_0001
18/03/21 02:16:56 INFO mapreduce.Job: Job job_1521598375209_0001 running in uber mode : false
18/03/21 03:11:54 INFO mapreduce.Job:  map 75% reduce 0%
18/03/21 03:12:37 INFO mapreduce.Job:  map 76% reduce 0%
18/03/21 03:13:17 INFO mapreduce.Job:  map 77% reduce 0%
18/03/21 03:13:59 INFO mapreduce.Job:  map 78% reduce 0%
18/03/21 03:14:40 INFO mapreduce.Job:  map 79% reduce 0%
18/03/21 03:15:21 INFO mapreduce.Job:  map 80% reduce 0%
18/03/21 03:16:05 INFO mapreduce.Job:  map 81% reduce 0%
18/03/21 03:16:44 INFO mapreduce.Job:  map 82% reduce 0%
18/03/21 03:17:23 INFO mapreduce.Job:  map 83% reduce 0%
18/03/21 03:18:07 INFO mapreduce.Job:  map 84% reduce 0%
18/03/21 03:18:48 INFO mapreduce.Job:  map 85% reduce 0%
18/03/21 03:19:31 INFO mapreduce.Job:  map 86% reduce 0%
18/03/21 03:20:14 INFO mapreduce.Job:  map 87% reduce 0%
18/03/21 03:20:56 INFO mapreduce.Job:  map 88% reduce 0%
18/03/21 03:21:34 INFO mapreduce.Job:  map 89% reduce 0%
18/03/21 03:22:13 INFO mapreduce.Job:  map 90% reduce 0%
18/03/21 03:22:56 INFO mapreduce.Job:  map 91% reduce 0%
18/03/21 03:23:36 INFO mapreduce.Job:  map 92% reduce 0%
18/03/21 03:24:16 INFO mapreduce.Job:  map 93% reduce 0%
18/03/21 03:24:54 INFO mapreduce.Job:  map 94% reduce 0%
18/03/21 03:25:37 INFO mapreduce.Job:  map 95% reduce 0%
18/03/21 03:26:18 INFO mapreduce.Job:  map 95% reduce 4%
18/03/21 03:26:21 INFO mapreduce.Job:  map 95% reduce 10%
18/03/21 03:26:26 INFO mapreduce.Job:  map 95% reduce 14%
18/03/21 03:26:27 INFO mapreduce.Job:  map 96% reduce 15%
18/03/21 03:27:10 INFO mapreduce.Job:  map 96% reduce 16%
18/03/21 03:27:19 INFO mapreduce.Job:  map 97% reduce 16%
18/03/21 03:28:10 INFO mapreduce.Job:  map 98% reduce 16%
18/03/21 03:28:58 INFO mapreduce.Job:  map 99% reduce 16%
18/03/21 03:29:26 INFO mapreduce.Job:  map 99% reduce 17%
18/03/21 03:29:47 INFO mapreduce.Job:  map 100% reduce 17%
18/03/21 03:30:17 INFO mapreduce.Job:  map 100% reduce 18%
18/03/21 03:30:19 INFO mapreduce.Job:  map 100% reduce 19%
18/03/21 03:30:22 INFO mapreduce.Job:  map 100% reduce 25%
